BBG004730N88;1682924400;243.200000000;243.240000000;243.240000000;243.200000000;15
BBG004730N88;1682924460;243.260000000;241.510000000;243.330000000;241.510000000;242
BBG004730N88;1682924520;241.220000000;242.400000000;242.570000000;240.900000000;215
BBG004730N88;1682924580;242.450000000;241.300000000;242.760000000;241.290000000;114
BBG004730N88;1682924640;241.290000000;242.840000000;242.840000000;241.290000000;40
BBG004730N88;1682924700;242.850000000;243.440000000;243.450000000;241.380000000;299
BBG004730N88;1682924760;243.450000000;242.130000000;243.610000000;241.980000000;87
BBG004730N88;1682924820;242.060000000;243.440000000;243.490000000;241.980000000;61
BBG004730N88;1682924880;243.450000000;243.370000000;243.450000000;241.900000000;37
BBG004730N88;1682924940;243.370000000;243.430000000;243.520000000;241.900000000;129
BBG004730N88;1682925000;241.930000000;241.840000000;243.390000000;241.840000000;97
BBG004730N88;1682925060;241.840000000;241.970000000;243.440000000;241.840000000;64
BBG004730N88;1682925120;243.440000000;243.340000000;243.440000000;241.820000000;98
BBG004730N88;1682925180;241.890000000;243.520000000;243.520000000;241.890000000;108
BBG004730N88;1682925240;242.100000000;243.480000000;243.480000000;242.010000000;36
BBG004730N88;1682925300;243.480000000;243.490000000;243.490000000;243.480000000;3
BBG004730N88;1682925360;242.010000000;242.010000000;243.480000000;242.000000000;17
BBG004730N88;1682925420;242.010000000;243.450000000;243.480000000;242.000000000;13
BBG004730N88;1682925480;241.840000000;243.180000000;243.180000000;241.840000000;101
BBG004730N88;1682925540;241.640000000;243.050000000;243.050000000;241.570000000;52
BBG004730N88;1682925600;241.580000000;242.880000000;243.060000000;241.270000000;214
BBG004730N88;1682925660;241.410000000;242.940000000;242.960000000;241.400000000;93
BBG004730N88;1682925720;242.980000000;241.620000000;243.210000000;241.510000000;233
BBG004730N88;1682925780;242.940000000;243.030000000;243.240000000;241.480000000;272
BBG004730N88;1682925840;243.060000000;241.450000000;243.350000000;241.440000000;353
BBG004730N88;1682925900;242.910000000;241.820000000;243.300000000;241.750000000;162
BBG004730N88;1682925960;243.290000000;243.610000000;243.620000000;241.840000000;145
BBG004730N88;1682926020;242.140000000;242.210000000;243.690000000;242.050000000;182
BBG004730N88;1682926080;242.210000000;242.850000000;243.680000000;241.370000000;413
BBG004730N88;1682926140;242.850000000;242.880000000;242.880000000;241.350000000;45
BBG004730N88;1682926200;242.910000000;242.980000000;243.140000000;241.440000000;181
BBG004730N88;1682926260;243.000000000;243.010000000;243.030000000;241.530000000;76
BBG004730N88;1682926320;243.040000000;242.970000000;243.110000000;241.300000000;350
BBG004730N88;1682926380;241.450000000;242.810000000;242.970000000;241.340000000;146
BBG004730N88;1682926440;242.820000000;241.460000000;242.930000000;241.420000000;57
BBG004730N88;1682926500;241.440000000;242.950000000;242.950000000;241.420000000;42
BBG004730N88;1682926560;241.440000000;243.150000000;243.150000000;241.380000000;247
BBG004730N88;1682926620;243.210000000;242.700000000;243.220000000;241.340000000;204
BBG004730N88;1682926680;242.700000000;242.620000000;242.830000000;241.230000000;158
BBG004730N88;1682926740;241.170000000;241.180000000;242.640000000;241.170000000;14
BBG004730N88;1682926800;242.670000000;241.280000000;242.750000000;241.280000000;36
BBG004730N88;1682926860;241.280000000;241.310000000;242.770000000;241.280000000;22
BBG004730N88;1682926920;242.800000000;242.950000000;242.950000000;241.400000000;80
BBG004730N88;1682926980;241.540000000;241.560000000;243.030000000;241.530000000;27
BBG004730N88;1682927040;243.020000000;243.070000000;243.080000000;241.540000000;68
BBG004730N88;1682927100;241.590000000;243.370000000;243.370000000;241.580000000;179
BBG004730N88;1682927160;243.300000000;243.310000000;243.310000000;241.840000000;18
BBG004730N88;1682927220;243.320000000;241.570000000;243.330000000;241.570000000;113
BBG004730N88;1682927280;241.560000000;241.420000000;243.160000000;241.420000000;176
BBG004730N88;1682927340;242.890000000;242.950000000;242.950000000;241.430000000;36
BBG004730N88;1682927400;242.950000000;243.270000000;243.270000000;241.780000000;109
BBG004730N88;1682927460;241.660000000;243.020000000;243.300000000;241.520000000;311
BBG004730N88;1682927520;243.090000000;243.020000000;243.250000000;241.560000000;195
BBG004730N88;1682927580;243.030000000;243.030000000;243.190000000;241.560000000;203
BBG004730N88;1682927640;243.170000000;243.180000000;243.210000000;241.720000000;140
BBG004730N88;1682927700;243.330000000;243.660000000;243.660000000;241.880000000;276
BBG004730N88;1682927760;243.680000000;241.840000000;243.700000000;241.840000000;200
BBG004730N88;1682927820;241.830000000;241.800000000;243.300000000;241.800000000;32
BBG004730N88;1682927880;243.270000000;241.970000000;243.360000000;241.820000000;57
BBG004730N88;1682927940;241.970000000;243.510000000;243.510000000;241.970000000;32
BBG004730N88;1682928000;243.520000000;241.910000000;243.520000000;241.910000000;83
BBG004730N88;1682928060;243.320000000;241.890000000;243.450000000;241.890000000;81
BBG004730N88;1682928120;241.880000000;243.400000000;243.430000000;241.880000000;58
BBG004730N88;1682928180;243.410000000;243.370000000;243.410000000;241.900000000;23
BBG004730N88;1682928240;243.370000000;243.540000000;243.540000000;241.880000000;163
BBG004730N88;1682928300;242.070000000;241.910000000;243.530000000;241.910000000;97
BBG004730N88;1682928360;241.900000000;243.340000000;243.370000000;241.770000000;149
BBG004730N88;1682928420;243.400000000;243.460000000;243.570000000;241.980000000;141
BBG004730N88;1682928480;243.490000000;241.970000000;243.540000000;241.970000000;89
BBG004730N88;1682928540;243.450000000;243.340000000;243.460000000;241.860000000;74
BBG004730N88;1682928600;241.870000000;241.730000000;243.340000000;241.730000000;165
